location,price,m2,price/m2,details,floor,build
"град Велико Търново, Колю Фичето",38 500 EUR,40 m2,(963 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Колю Фичето",49 600 EUR,47 m2,(1055 EUR/m2),Продава 1-СТАЕН,2-ри от 2,Газ: НЕ
"град Велико Търново, Света гора",31 110 EUR,62 m2,(502 EUR/m2),Продава 1-СТАЕН,2-ри от 5,ТEЦ: НЕ
"град Велико Търново, Център",21 000 EUR,50 m2,(420 EUR/m2),Продава 1-СТАЕН,3-ти от 3,Строителство: Тухла
"град Велико Търново, Център",21 000 EUR,50 m2,(420 EUR/m2),Продава 1-СТАЕН,3-ти от 3,"Строителство: Тухла, 1970 г."
"град Велико Търново, Център",41 500 лв.,50 m2,(830 лв./m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център",21 500 EUR,50 m2,(430 EUR/m2),Продава 1-СТАЕН,3-ти от 3,Строителство: Тухла
"град Велико Търново, Център",21 500 EUR,50 m2,(430 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център",22 000 EUR,50 m2,(440 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център",23 000 EUR,50 m2,(460 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център",25 500 EUR,20 m2,(1275 EUR/m2),Продава 1-СТАЕН,6-ти от 9,"Строителство: Тухла, 2020 г."
"град Велико Търново, Център",25 500 EUR,18 m2,(1417 EUR/m2),Продава 1-СТАЕН,7-ми от 9,"Строителство: Тухла, 2020 г."
"град Велико Търново, Център, Беляковско шосе",57 000 лв.,37 m2,(1541 лв./m2),Продава 1-СТАЕН,Партер от 4,Строителство: Тухла
"град Велико Търново, Център",35 000 EUR,37 m2,(946 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център",36 000 EUR,40 m2,(900 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център, Нова Болница",40 000 EUR,40 m2,(1000 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център",40 000 EUR,27 m2,(1481 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център",82 000 лв.,42 m2,(1952 лв./m2),Продава 1-СТАЕН,2-ри от 7,Газ: НЕ
"град Велико Търново, Център, Център",42 000 EUR,42 m2,(1000 EUR/m2),Продава 1-СТАЕН,2-ри от 5,Газ: НЕ
"град Велико Търново, Център",45 500 EUR,32 m2,(1422 EUR/m2),Продава 1-СТАЕН,3-ти от 5,"Строителство: Тухла, 2021 г."
"град Велико Търново, Център",49 800 EUR,40 m2,(1245 EUR/m2),Продава 1-СТАЕН,1-ви от 6,"Строителство: Тухла, 2021 г."
"град Велико Търново, Център",50 100 EUR,36 m2,(1392 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център, Акация",55 000 EUR,37 m2,(1486 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център, Акация",57 000 EUR,36 m2,(1583 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център",60 000 EUR,50 m2,(1200 EUR/m2),Продава 1-СТАЕН,1-ви от 3,"Строителство: Тухла, 1980 г."
"град Велико Търново, Център",62 000 EUR,50 m2,(1240 EUR/m2),Продава 1-СТАЕН,1-ви от 3,Строителство: Тухла
"град Велико Търново, Център",62 000 EUR,45 m2,(1378 EUR/m2),Продава 1-СТАЕН,2-ри от 2,Строителство: Тухла
"град Велико Търново, Център",62 000 EUR,50 m2,(1240 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Център",,1 m2,,Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Чолаковци",61 000 лв.,38 m2,(1605 лв./m2),Продава 1-СТАЕН,4-ти от 6,Строителство: Панел
"град Велико Търново, Чолаковци",31 700 EUR,44 m2,(720 EUR/m2),Продава 1-СТАЕН,5-ти от 6,Газ: НЕ
"град Велико Търново, Чолаковци, Бела Бона 11",62 000 лв.,44 m2,(1409 лв./m2),Продава 1-СТАЕН,5-ти от 6,Строителство: Панел
"град Велико Търново, Чолаковци",65 000 лв.,42 m2,(1548 лв./m2),Продава 1-СТАЕН,4-ти от 6,Газ: НЕ
"град Велико Търново, Акация",63 500 EUR,96 m2,(661 EUR/m2),Продава 2-СТАЕН,4-ти от 4,Строителство: Тухла
"град Велико Търново, Акация",64 000 EUR,91 m2,(703 EUR/m2),Продава 2-СТАЕН,1-ви от 4,Строителство: Тухла
"град Велико Търново, Акация",66 900 EUR,55 m2,(1216 EUR/m2),Продава 2-СТАЕН,2-ри от 6,Строителство: Тухла
"град Велико Търново, Акация",131 000 лв.,47 m2,(2787 лв./m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Акация",67 000 EUR,60 m2,(1117 EUR/m2),Продава 2-СТАЕН,3-ти от 7,"Строителство: Тухла, 2011 г."
"град Велико Търново, Акация",67 000 EUR,55 m2,(1218 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Акация",68 100 EUR,60 m2,(1135 EUR/m2),Продава 2-СТАЕН,3-ти от 7,Строителство: Тухла
"град Велико Търново, Акация",79 000 EUR,70 m2,(1129 EUR/m2),Продава 2-СТАЕН,3-ти от 4,Строителство: Тухла
"град Велико Търново, Бузлуджа",32 000 EUR,45 m2,(711 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",38 000 EUR,68 m2,(559 EUR/m2),Продава 2-СТАЕН,7-ми от 7,"Строителство: Панел, 1980 г."
"град Велико Търново, Бузлуджа",38 000 EUR,65 m2,(585 EUR/m2),Продава 2-СТАЕН,6-ти от 7,Строителство: Панел
"град Велико Търново, Бузлуджа",75 000 лв.,48 m2,(1563 лв./m2),Продава 2-СТАЕН,6-ти от 6,Строителство: Панел
"град Велико Търново, Бузлуджа",38 350 EUR,53 m2,(724 EUR/m2),Продава 2-СТАЕН,6-ти от 6,Строителство: Панел
"град Велико Търново, Бузлуджа",39 000 EUR,41 m2,(951 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",39 200 EUR,53 m2,(740 EUR/m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",80 000 лв.,50 m2,(1600 лв./m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",84 000 лв.,50 m2,(1680 лв./m2),Продава 2-СТАЕН,ДА,Строителство: Панел
"град Велико Търново, Бузлуджа",84 000 лв.,43 m2,(1953 лв./m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",46 000 EUR,43 m2,(1070 EUR/m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",46 900 EUR,57 m2,(823 EUR/m2),Продава 2-СТАЕН,8-ми от 8,Строителство: Панел
"град Велико Търново, Бузлуджа",92 000 лв.,58 m2,(1586 лв./m2),Продава 2-СТАЕН,"Тухла, 2019 г.","
"
"град Велико Търново, Бузлуджа",47 500 EUR,60 m2,(792 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа, Била",47 550 EUR,76 m2,(626 EUR/m2),Продава 2-СТАЕН,1-ви от 6,"Строителство: Панел, 1984 г."
"град Велико Търново, Бузлуджа",48 000 EUR,65 m2,(738 EUR/m2),Продава 2-СТАЕН,8-ми от 8,"Строителство: Панел, 1980 г."
"град Велико Търново, Бузлуджа",48 300 EUR,57 m2,(847 EUR/m2),Продава 2-СТАЕН,8-ми от 8,Газ: НЕ
"град Велико Търново, Бузлуджа",48 300 EUR,51 m2,(947 EUR/m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",48 300 EUR,55 m2,(878 EUR/m2),Продава 2-СТАЕН,8-ми от 8,Строителство: Панел
"град Велико Търново, Бузлуджа",48 300 EUR,57 m2,(847 EUR/m2),Продава 2-СТАЕН,8-ми от 8,Строителство: Панел
"град Велико Търново, Бузлуджа",48 300 EUR,57 m2,(847 EUR/m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",48 400 EUR,57 m2,(849 EUR/m2),Продава 2-СТАЕН,8-ми от 8,Строителство: Панел
"град Велико Търново, Бузлуджа",94 800 лв.,57 m2,(1663 лв./m2),Продава 2-СТАЕН,8-ми от 8,Строителство: Панел
"град Велико Търново, Бузлуджа",94 800 лв.,54 m2,(1756 лв./m2),Продава 2-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",48 500 EUR,57 m2,(851 EUR/m2),Продава 2-СТАЕН,8-ми от 8,Газ: НЕ
